name	hash	compiles	blocker_category	blocker	equiv	equiv_detail
Darklang.Stdlib.Diff.tableGet	0038fbd1497a46f3821abb786e278df3734aa36421696b041bccfd28593f975e	yes		31872 bytes	match	match
Darklang.SCM.PackageOps.chainBindings	0056002cf85ee9c2374f5047f50467f9baad66fbba39c45476eef71219207691	no	builtin not routed	unsupported-builtin: uuidParse_v0		
Darklang.SCM.PackageOps.adoptCommitsWhere	0065f6a94cfff6b05e6cd6f0a488ef81018e9b6b89cb637555b0e6e5e499f693	yes		193000 bytes	ierr	ierr|[Function (Package (Hash "0065f6a94cfff6b05e6cd6f0a488ef81018e9b6b89cb637555b0e6e5e499f693")); Function (Package (Hash "2214c09a884a50281a482b92909e5ba050cc33edafc9fb61f1a10a7a0055f1c3"))]
Darklang.LLM.Providers.Ollama.create	0068d0e181e440803d0e2b92def436b283331b8fdf5a26db9ccb51e56ffc620c	no	compiler: ANF	ANF conversion error: Nested pattern in list element not yet supported		
Darklang.WIP.AI.Anthropic.Content.emptyBlock	006d66050fc50a8182e0a6fe17a7863b9f95e5bc532c8e4adf313a6776916146	yes		5664 bytes	match	match
Darklang.PrettyPrinter.ProgramTypes.sourceFile	007d064ece21498a303caab46c3c40752dd30b4d11b76958b27ad5380579bfdc	no	builtin not routed	unsupported-builtin: int128ToString_v0		
Darklang.LLM.Tools.FileSystem.searchPathsForPattern	00a828bc1307ebee4dba8e0fa6ec7e5ececc8ed9d9b9d6fc257ec7788b4b8f31	yes		137296 bytes	match	match
Darklang.Cli.Apps.Install.removeAlias	00a98f83ca0fde8be3b6892cea3d9867485d908160dc8f4c09e8bbc7e865e7db	yes		117464 bytes	ierr	ierr|[Function (Package (Hash "00a98f83ca0fde8be3b6892cea3d9867485d908160dc8f4c09e8bbc7e865e7db")); Function (Package (Hash "2e5297f116c22bf29fbf812341eb8bb54f348be22e589f06d004e78398d06a32")); Function (Package (Hash "77588c645a38c7b8cdff437e1c337930edccd49f2fce074c5082b622b97d1084")); ... ]
Darklang.LanguageTools.WrittenTypesToProgramTypes.TypeDeclaration.toPT	00aed8c68f0f60e30d123b19ad4a6d047af709d0060817d14ecd002a6ed7764d	no	builtin not routed	unsupported-builtin: stringToList_v0		
Darklang.WIP.AI.Anthropic.Chat.parseContentBlock	00c28ac22516b004051f08a02f9c9c99d6144f772ae216268c9798d84d07f2fc	no	other	x86-64 code generation error: Unresolved virtual float register f3100 in x86-64 codegen		
Stachu.DarklangParser.qualifiedName	00c6cefa0b2ff3f9b7ddda32ac984b564a23c10dfb3a64cd4a000e8293dd9cd3	no	unsupported-type	unsupported-type: Stachu.DarklangParser.P: generic type alias		
Darklang.WIP.AI.OpenAI.Audio.Transcriptions.parseResponse	00c9f362b5f6bd653045f024966c8504e5522106841221cab8db3931003bb296	yes		203992 bytes	ierr	ierr|[]
Darklang.ModelContextProtocol.LifeCycle.InitializeRequest.InitializeResult.toJson	00e44cbf3afea6f5d0c41c59020d0a8430154f065498177626d7e36661f688c5	yes		39488 bytes	match	match
Darklang.Cli.Tests.testWorkbenchSidebarNavigation	011069e0268f741cc26a0b4c76f0f8729fceeddf89d8edf8bd095e2c913daf5f	no	unsupported-type	unsupported-type: Darklang.LanguageTools.RuntimeTypes.Option: generic type alias		
Darklang.WIP.AI.Anthropic.IntegrationTests.DirectApiTests.allTests	011092f02f65b4c7533d7ea3035687509222f872b04cd46acc59f204ebee7a87	yes		686792 bytes	unprovable	unprovable|TFunction ([TUnit], TSum ("T.d3c45f13da6f6104ffc039c2b004cad9bb8331060e25f22efd371ce5b84aa11f", []))
Darklang.Stdlib.printLines	0119e5467821abc3476f53de9d307f141735373fd567fd6baedfe953693c725b	yes		34872 bytes	match	match
Darklang.Cli.Branch.help	011b6b088a2e548701c895fa0618cfb4b42f633d4192cf612bbd7356b8cbef74	yes		35576 bytes	noargs	noargs|TCustomType ({ originalName = ["AppState"] resolved = Ok { name = Package (Hash "66b13d6508c6716ee1851226d1a0c169f4bac2a6b43a85a9a80af5d7d19a1629") location = Some { owner = "Darklang" modules = ["Cli"] name = "AppState" } } }, [])
Darklang.Cli.Outliner.Editor.collapseOrParent	01269c94c285d5682c01d9240cafeda0804a1073e0d9939873c630fffd1d6ae1	no	compiler: type error	fn.4cbc81caadfb1da7c351beb8d9b7dc51c1f8d124417dc8cfa4322fc2962eb681's return value expects List<Int64>, but got List<t> (List<t>)		
Darklang.WIP.AI.Anthropic.Tools.bashTool	012db9a78cd7572087a2f64bebf77f611575ed078a6a5cf159eee8be29db97ea	yes		680 bytes	match	match
Darklang.Cli.Workbench.jumpToWorkspace	013b816861a095e886cf315df7ad15e937db4435eed02918ecd1d938767071bd	no	builtin routed, return type unmarshalable	unsupported-builtin: pmSearch: T.751f8f7eebb10ce34c92278e99a9686bc43a476a448f467eeed11d0042d1eb44: T.0cc514f99b65b8c6ca917880ae86966ad4fcfd256d59940fa9eb606317a3357a: T.51d1c6d465118e886efbf45f4a6abaa1282b52fc159df96cea2976cec73676ea: unmarshalable-return: TInt128		
Darklang.SCM.PackageOps.draftRepoints	0140b70f96d2ef3d972171debbdc8a9a32d26ae0ccb71a62b6e87541c3d2af26	no	builtin not routed	unsupported-builtin: listSortBy_v0		
Darklang.WIP.AI.Anthropic.Batch.parseMessageBatch	0141ec074c128a1413ea43ec5c810401baf151c8ec88bfa736ee2e013b71a041	yes		100424 bytes	match	match
Darklang.Stdlib.Cli.UI.Colors.comment	0148f7bfbbeae454b30dc34a87062c5b8fc041da7774f48dc4efffdc1d304b52	yes		1848 bytes	match	match
Darklang.Stdlib.Cli.UI.Colors.grayText	0148f7bfbbeae454b30dc34a87062c5b8fc041da7774f48dc4efffdc1d304b52	yes		1848 bytes	match	match
Darklang.Stdlib.Cli.UI.Colors.logo	0148f7bfbbeae454b30dc34a87062c5b8fc041da7774f48dc4efffdc1d304b52	yes		1848 bytes	match	match
Darklang.Stdlib.Cli.UI.Colors.mutedText	0148f7bfbbeae454b30dc34a87062c5b8fc041da7774f48dc4efffdc1d304b52	yes		1848 bytes	match	match
Darklang.Stdlib.Int32.multiply	015112adcedbb61dfcb9b3ec7bc9bdd5e28d957d885a834bc785ad418c6fc97a	yes		608 bytes	match	match
Darklang.Cli.Installation.Config.updateVersion	0158ccf26fad6ce0d426251aab4c7e458b0866b6e4ae13cfea80d274f95e0bf8	no	builtin not routed	unsupported-builtin: dateTimeToSeconds_v0		
Darklang.Stdlib.Tuple2.mapFirst	015bec7f8e7f8d157086a75c3963c27ffe5576658e92bb69b5d92e97bdff610d	yes		1136 bytes	noargs	noargs|TFn ({ head = TVariable "a" tail = [] }, TVariable "c"), TTuple (TVariable "a", TVariable "b", [])
Darklang.Stdlib.DB.queryOne	016371e7e43e2f452191d4ca8b4140902f3dd19bfffee9c12e4cebfa84c63f23	no	unsupported-type	unsupported-type: TDB		
Darklang.LLM.Providers.OpenAI.toolSchemaToJson	016a538bfd4a3e4585aa22d0ed65f0794acfef3af24d2094802a94003e8701e6	yes		108784 bytes	crash	crash|1
Darklang.Stdlib.Pretty.styled	016b2eac6aa992f32f341d1c4be729d5cf342d00976a03d960c63d6531c8fe31	yes		728 bytes	match	match
Darklang.Cli.Docs.Command.help	0174ff1c7e66ac5024fa9a8a0e03745d462fb94ba92f5695bc2184af96fad184	yes		27064 bytes	noargs	noargs|TCustomType ({ originalName = ["Cli"; "AppState"] resolved = Ok { name = Package (Hash "66b13d6508c6716ee1851226d1a0c169f4bac2a6b43a85a9a80af5d7d19a1629") location = Some { owner = "Darklang" modules = ["Cli"] name = "AppState" } } }, [])
Darklang.LanguageTools.LspServer.Completions.createCompletions	01816a9250ba69c8042406b773c255719c7a1656aac07ad2b0accda97489fd66	no	builtin routed, return type unmarshalable	unsupported-builtin: pmSearch: T.751f8f7eebb10ce34c92278e99a9686bc43a476a448f467eeed11d0042d1eb44: T.0cc514f99b65b8c6ca917880ae86966ad4fcfd256d59940fa9eb606317a3357a: T.51d1c6d465118e886efbf45f4a6abaa1282b52fc159df96cea2976cec73676ea: unmarshalable-return: TInt128		
Darklang.SCM.PackageOps.decodeOpRowEntries	018f7ddf74bc6c7f4239e596310e2b18b87f1c38d8c8cc9b61f411384481ca7a	no	builtin not routed	unsupported-builtin: uuidParse_v0		
Darklang.Matter.itemsIn	0191f9c76a5b5f697427119d3a03f304f67b3b47a820dfefec7559cea83f493e	no	builtin not routed	unsupported-builtin: sqliteQuery_v0		
Darklang.Cli.Outliner.Editor.clearFilter	01b0e11a1c408b455513d4fa23e829901cae02c6f04db97b1509f8efae816c9e	yes		1424 bytes	noargs	noargs|TCustomType ({ originalName = ["State"] resolved = Ok { name = Package (Hash "7d5b0e2883df3132e99e0d269c3cd8abc40f5bb964608974718014beac562f30") location = Some { owner = "Darklang" modules = ["Cli"; "Outliner"; "Editor"] name = "State" } } }, [])
Darklang.Cli.Tracing.complete	01b85146686e5f81c21b59dc15f3ff48d888dc2c5edc4da1d7f4ce6ef96ca03c	no	compiler: ANF	ANF conversion error: Tail pattern must be variable or wildcard		
Darklang.Stdlib.ValueSearch.buildPathFromLocation	01c22b2d6ff0f34d228b12b4316a2f4f3ed4407be797b3a978e19126e99bf6a8	yes		46360 bytes	match	match
Darklang.Cli.PropagateCmd.executeJson	01cf2109847d8a0e2097c0265b7922e51cf75917debfab8216cad5b94e3280b5	no	builtin not routed	unsupported-builtin: sqliteQuery_v0		
Darklang.Cli.Packages.DB.listAll	020a025cbac12ed976314e129acb4a1faf46e1624547401554a04b3c8b1418d2	yes		79032 bytes	noargs	noargs|TUuid
Darklang.LanguageTools.LspServer.Hover.handleHoverRequest	02143ae7337e6850ff6311e04302bd196538020be9c8def8e0be075d92e00560	no	builtin routed, return type unmarshalable	unsupported-builtin: pmGetFn: T.0cc514f99b65b8c6ca917880ae86966ad4fcfd256d59940fa9eb606317a3357a: T.51d1c6d465118e886efbf45f4a6abaa1282b52fc159df96cea2976cec73676ea: unmarshalable-return: TInt128		
Darklang.Stdlib.Html.pre	02164dc10b42c9112e4180ed71ae96761d0ce6cbed346c9ffd974e78705256b5	yes		1040 bytes	ierr	ierr|[]
Stachu.DarklangParser.matchPattern	021c9da0a3076303df65b64225671c1d670d2258a97a6727cb87dada13941554	no	unsupported-type	unsupported-type: Stachu.DarklangParser.P: generic type alias		
Darklang.Stdlib.List.uniqueBy	0226dfde3d5a9468eca1d55cbec0a53f4bbfe6a63e4103480c2e5a7b045be4ff	no	builtin not routed	unsupported-builtin: listSort_v0		
Darklang.JsonRPC.Request.makeString	0227598e0df146f91287f16c8c5bbad912e9b25fa5f59b5cc8580542f6afb10d	yes		123192 bytes	ierr	ierr|[]
Stachu.Parser.keepRight	02296b700ae98df3571b71cca45b3a98fa2212de0d84e4ac6ce8a90a9ed245e6	yes		3104 bytes	noargs	noargs|TCustomType ({ originalName = ["Parser"] resolved = Ok { name = Package (Hash "92f9b06263f70264fcc992d14d33b58588e038c336fa7c7b462f96ee6f709c61") location = Some { owner = "Stachu" modules = ["Parser"] name = "Parser" } } }, [TVariable "a"]), TCustomType ({ originalName = ["Parser"] resolved = Ok { name = Package (Hash "92f9b06263f70264fcc992d14d33b58588e038c336fa7c7b462f96ee6f709c61") location = Some { owner = "Stachu" modules = ["Parser"] name = "Parser" } } }, [TVariable "b"])
Darklang.Tracing.Store.clearBefore	025035b7b8f753458b1feb27802e8d980562d22f19de0b928bbc5f6018fc2b6e	yes		37384 bytes	match	match
Darklang.Stdlib.Char.toCodepoint	0275d9bb16153cb8c0dc56f556f101d34235059fa6e8ec5dca41fab3e871410b	yes		43224 bytes	match	match
Darklang.Cli.Docs.Command.Topics.allTopics	02a1465d1d845877cecf96a3e1cc1220da2f0774b23d9beb3575eaa9dc90410b	yes		162496 bytes	unprovable	unprovable|T.4fc737d5a920e12705663147c6e319d995a4788497955986e97be18bbdda5612.content: TFunction ([TUnit], TString)
Darklang.LLM.Providers.OpenAI.imageSourceToOpenAI	02a33d264ea32886beb7ad976157e38d1a492f16ca758221ee668b9708811268	yes		11240 bytes	match	match
Darklang.WIP.AI.OpenAI.Responses.BuiltInTools.toJson	02a5b6a55ebdebcca16b221e8d4ec3eb2b317341c4f868b47f297f7d4f134c44	yes		130432 bytes	match	match
Darklang.SCM.PackageOps.supersededPolicies	02b41f5f8472d8d0cdddacfd8723818ef64f73351eadad15bddc1e79982ec6c8	no	builtin not routed	unsupported-builtin: uuidParse_v0		
Darklang.Stdlib.List.reverse	02c8102b4dafeddea3c9a7b4383dd7369d8207f9ee6022201e4500047ef4113d	yes		42600 bytes	match	match
Darklang.Stdlib.Blob.toBase64	02dd2c4e15eb10317b0fbc8ecdf4179cc3479a1da159a32e8f2610b45f70be2f	yes		65480 bytes	match	match
Darklang.Cli.Outliner.Commands.findDoc	02edc51dca43d1893c6555a995c6b8ab62f5031ce7212b47c9b370b3f5e6bc2a	yes		93896 bytes	noargs	noargs|TList (TCustomType ({ originalName = ["Document"] resolved = Ok { name = Package (Hash "81efd2e9f5756fddd7b83831ad1d5899dd0d631c5fd2975f86f33b515ba7313d") location = Some { owner = "Darklang" modules = ["Cli"; "Outliner"] name = "Document" } } }, [])), TString
Darklang.LLM.Agent.withMaxTurns	02efb5a26548f1c5689d030feff633878e2603ca89a1815cfa177f2e8d054cbf	yes		3848 bytes	noargs	noargs|TCustomType ({ originalName = ["Agent"] resolved = Ok { name = Package (Hash "86c42d870656f0505c376d394bcd5130a5133060ab33505275931d5b253a2c77") location = Some { owner = "Darklang" modules = ["LLM"; "Agent"] name = "Agent" } } }, []), TInt
Stachu.TinyLang.varName	02f2c857ec996961846d5c63fbb223cad9d4bd98fe5bfb2c3cb593e1f6114b28	yes		52312 bytes	unprovable	unprovable|T.92f9b06263f70264fcc992d14d33b58588e038c336fa7c7b462f96ee6f709c61.run: TFunction ([TString], TSum ("T.01d67bf08fa37c36d07598cf4c492d5b657dadb59f903d73756b5463fd6ec7a1", [TString]))
Darklang.Cli.Auth.Login.help	02f3c19f88a3ff494730c762d08da7a9c52c753347c68133f1fa6a6a6cf08644	yes		23800 bytes	noargs	noargs|TCustomType ({ originalName = ["AppState"] resolved = Ok { name = Package (Hash "66b13d6508c6716ee1851226d1a0c169f4bac2a6b43a85a9a80af5d7d19a1629") location = Some { owner = "Darklang" modules = ["Cli"] name = "AppState" } } }, [])
Darklang.Stdlib.Regex.replace	0320177c705e7b3aa0d1717921063a074186f538f1d0cd4e01a4ed65d4abef09	yes		36032 bytes	match	match
Darklang.Perf.compareEval	0322d6f923b33d500f6c837aac4ed484edd14c2af883a8e9221ce51ccde83010	no	unsupported-value	unsupported-value: unresolved value name		
Darklang.Cli.Tracing.execute	0328e90145f76ddb716d62113bde0705a4c061c200df6f442cc439e14c6526f9	no	unsupported-type	unsupported-type: Darklang.Cli.Tracing.TraceSummary: not in the type closure		
Darklang.Stdlib.Int128.bitwiseOr	03355320f0c9f28ddbbc46a636c3a8124a26da917f3ea10be2fca89f22030613	no	builtin not routed	unsupported-builtin: int128BitwiseOr_v0		
Darklang.CompilerCases.Stdlib.List.append_basic	0335e4520122116e730f94254de65961d1712890d62df64a1a5ac4deb52daadb	yes		53120 bytes	match	match
Darklang.Stdlib.Tuple2.second	0338a7a56f917e170901b80d66b2df86dd304a5f673e07eefeb12feeb9fd2f7b	yes		608 bytes	match	match
Darklang.Stdlib.Blob.toList	0347578685c722e2768fbcad8f72f0d00776050981efc75d323949dd60a39f8d	yes		110352 bytes	match	match
Darklang.Cli.Registry.getCompactCommandList	034ba485331d659f69114bf2c6f95278e69f3fcaf281c7354c3a7d8d6eb1bfae	yes		250520 bytes	match	match
Darklang.Cli.Packages.View.astRows	035de3ee78d45225c9ada90fdc6291b137ca354f511ade4718a7840eb55d896c	no	builtin not routed	unsupported-builtin: int128ToString_v0		
Darklang.WIP.AI.OpenAI.Tools.typeToJson	03721556414cebd6f8ff658b3d3492e33881af8050580bdac8ea5c14ea0729ff	yes		3192 bytes	match	match
Darklang.Cli.Apps.Editor.component	0373db137c0f3a56a2422c5371887dd6ff16ee489e9d5eab92dbcaf2af530f7e	no	builtin not routed	unsupported-builtin: listUnique_v0		
Darklang.SCM.PackageOps.shortHashOr	03779fe4b529afe2366f032d322129e7c09489576e24a056ec5f9bdd714efebd	yes		39056 bytes	match	match
Darklang.Discord.embed	037c212c6056f4aa9d452a645302732e780e486d0516ca91a9a21808b348c65a	yes		4928 bytes	match	match
Darklang.LLM.Agent.makeTool	038d14f6e3fcd3b580e967a9a4ea6887e33ed088e9f8c6b50b10b7f614220a3f	yes		1080 bytes	noargs	noargs|TString, TString, TList (TCustomType ({ originalName = ["Darklang"; "LLM"; "Provider"; "ToolParameter"] resolved = Ok { name = Package (Hash "4e39743513ed38f3d05083b4ad5fb6db5cce9acf1c45058fe2ff99036c1b131f") location = Some { owner = "Darklang" modules = ["LLM"; "Provider"] name = "ToolParameter" } } }, [])), TFn ({ head = TCustomType ({ originalName = ["Json"] resolved = Ok { name = Package (Hash "dc9b56469b9212eab10ec78c7261816efdbd0b0d55eed29f35b7c9c52fd2cb9d") location = Some { owner = "Darklang" modules = ["LLM"; "Agent"] name = "Json" } } }, []) tail = [] }, TCustomType ({ originalName = ["Stdlib"; "Result"; "Result"] resolved = Ok { name = Package (Hash "03549ecc7eb39c974d3f7181c87a3ee9337fc91307ecb2c24351b0df4809ce15") location = Some { owner = "Darklang" modules = ["Stdlib"; "Result"] name = "Result" } } }, [TCustomType ({ originalName = ["ToolOutput"] resolved = Ok { name = Package (Hash "2bc4db4672a33e46fd2f258dffb98367ce2f3203b037507c46c8006e97c35ec7") location = Some { owner = "Darklang" modules = ["LLM"; "Agent"] name = "ToolOutput" } } }, []); TString]))
Darklang.WIP.AI.Anthropic.Chat.Request.send	03910c991648f63ccc53c73c56debe9cb12936c8c52b64dc6af0d1ff4c53b213	yes		652400 bytes	ierr	ierr|[Function (Package (Hash "03910c991648f63ccc53c73c56debe9cb12936c8c52b64dc6af0d1ff4c53b213")); Function (Package (Hash "453f5e627c9e561a00ebdb3311a49208d13ba8c29bc866487ccab07c6c39fe09"))]
Darklang.Stdlib.DateTime.atStartOfDay	0398285d6944ca250058f587289a19cfce79a14a8e45df8d0336f2a4d107ac1d	no	builtin not routed	unsupported-builtin: dateTimeAtStartOfDay_v0		
Darklang.ModelContextProtocol.ServerBuilder.Resources.resource	039e2ce5d14b66c2191c0a0e963b3827216ab79368a7c529c70311c861415c64	no	compiler: type error	Unknown record type: T.08dc2f58124c8f2fe9b631d7284cd7c5efbdd42be5e63ffdc1d522e5f41e20f4		
Darklang.Cli.Listing.groupRows	03c5621244c1f3d3f3d182d3e2398e40afe265cf4e66ae276e5ebd0590b88e2b	yes		48568 bytes	match	match
Darklang.WIP.AI.Anthropic.Tools.enumProp	03d00cf397bebd60925dd8bfb05389c3903fbb68e87721f3f811b8f9a12bb594	yes		1032 bytes	match	match
Darklang.WIP.AI.Anthropic.IntegrationTests.MetadataTests.testUserId	03d1288074bbe4d233599afd24eafaadf949c4ad4fa24d519b26ba1e764fda65	yes		674216 bytes	ierr	ierr|[Function (Package (Hash "03d1288074bbe4d233599afd24eafaadf949c4ad4fa24d519b26ba1e764fda65")); Function (Package (Hash "eb7bda87519e3eef953246fce7ef33e3a5f3dd6ecdb158b4964d86f65fae036c")); Function (Package (Hash "cc02076d82618b580a3c90e949e7ba0d44084df256e1282303ee2cfa6a9dfbb5"))]
Darklang.SCM.Docs.overlay	03dc4c3b7ab4c44c0a4f367661e27d11ba6dbee648a651b84ec6fd33c982ece9	yes		115448 bytes	noargs	noargs|TUuid, TCustomType ({ originalName = ["LanguageTools"; "ProgramTypes"; "PackageLocation"] resolved = Ok { name = Package (Hash "952f921bae69c1df53ffde67755738bd3071fa97165be6d1e30f1d8c3ee9c706") location = Some { owner = "Darklang" modules = ["LanguageTools"; "ProgramTypes"] name = "PackageLocation" } } }, []), TList (TTuple (TCustomType ({ originalName = ["LanguageTools"; "ProgramTypes"; "DocPart"] resolved = Ok { name = Package (Hash "edaec509f09809494c45a1122074996158f00ad03c13865eb9cc18cc8647e7b2") location = Some { owner = "Darklang" modules = ["LanguageTools"; "ProgramTypes"] name = "DocPart" } } }, []), TString, []))
Darklang.Stdlib.Cli.Posix.fdClose	03ecdda2955e17b5bbf86aa7f13204da0fda034c7db871e5a26ad261670d8906	yes		56864 bytes	nondet	nondet
Darklang.WIP.AI.OpenAI.Chat.userMessageContentToJson	040e3b3cb3c289364b4e4811443c22019c6a16cf546118d3fb406aec6f6e2bdd	yes		58704 bytes	match	match
Darklang.Stdlib.UInt128.greaterThanOrEqualTo	0420a4f0b13dd42ab451d9ddc36f10e0e7a597bbf6c3e1d887bd64dea8e0d16a	no	builtin not routed	unsupported-builtin: uint128GreaterThanOrEqualTo_v0		
Darklang.Cli.Packages.Deprecate.parseKind	0429c7a47af5e9a7493560090e4d21b3ed9cfd3b0c1cc22b1588b07e93835f6c	yes		3120 bytes	ierr	ierr|[]
Darklang.Stdlib.List.head	042c8f0e6c32e19cb2351ecd401d01843b34f9fca8fa8280b81de1b2598787aa	yes		18896 bytes	match	match
Darklang.Stdlib.List.dropWhile	042eb72967847ce866416e02ab3d05488605fb1378dd6159bae8ac0634f7b390	yes		27864 bytes	noargs	noargs|TList (TVariable "a"), TFn ({ head = TVariable "a" tail = [] }, TBool)
Darklang.WIP.AI.Anthropic.Batch.handleBatchResponse	0443aef6e27cca6bb916639f8faf80b2320a74f74c97058db588dee69fa493d0	no	other	x86-64 code generation error: Unresolved virtual float register f3776 in x86-64 codegen		
Darklang.LanguageTools.WrittenTypesToProgramTypes.Expr.toPT	0445e2275cd9571424bfcd2f9321fc2c3056c1f76a325e340e46ffbe8d570389	no	builtin not routed	unsupported-builtin: dictKeys_v0		
Darklang.LanguageTools.AtRestTypeChecker.emptyReport	044b407b6cc2b886471b1d4eae98f048adf6777a0de46cb2569f5164d386a010	yes		520 bytes	match	match
Darklang.Stdlib.Int8.parse	045a8f87319e555e53c5d93615bd943ff5e6b4e1250c56cdc827cbc0dc1c6853	yes		47400 bytes	match	match
Darklang.WIP.AI.Anthropic.Tools.mcpToolWithAuth	045cc48183f9a8a8b40c6e65ee04e7cb93701252f9027f49a28e73894d671654	yes		1088 bytes	match	match
Darklang.LanguageTools.Parser.Canvas.toPT	0470eab12dadf3c68d8971a54878578da6b3184ec6e782cd1cd57b40a3ffe14a	no	builtin not routed	unsupported-builtin: dictKeys_v0		
Darklang.Discord.message	0476a430858a37f2e21bca1f7e2d3d4d44fb5737ab6ee2760dcbf59fcd6a4212	yes		1328 bytes	match	match
Darklang.Cli.Packages.Deprecate.undeprecateHelp	048a83ad25afb3763f5d90eaf2a4e25997c7bb65b69fb1f0aad1ab4c03aed2c0	yes		24104 bytes	noargs	noargs|TCustomType ({ originalName = ["Cli"; "AppState"] resolved = Ok { name = Package (Hash "66b13d6508c6716ee1851226d1a0c169f4bac2a6b43a85a9a80af5d7d19a1629") location = Some { owner = "Darklang" modules = ["Cli"] name = "AppState" } } }, [])
Darklang.LanguageTools.LspServer.HoverInformation.collectValueHoverInfoAtPos	0498f63a9638e5cdf8564f90065e3a10aacaea1b7e73c3b646e11d780920349b	no	builtin not routed	unsupported-builtin: stringToList_v0		
Darklang.LanguageServerProtocol.Completions.CompletionOptions.toJson	049b9811e69e28d9e500de8430c00634dbe21a86cfa41a862bac82e8eab310ad	yes		82136 bytes	ierr	ierr|[Function (Package (Hash "049b9811e69e28d9e500de8430c00634dbe21a86cfa41a862bac82e8eab310ad"))]
Darklang.PrettyPrinter.ProgramTypes.wrapExprs	04a1e0a3f27a0a5e73a01367217bf10581f84db9076623bb0205c89f1588f2f9	yes		45240 bytes	match	match
Darklang.WIP.AI.OpenAI.Chat.withImageMessage	04ad75a6e7d23fa0f6123ba7cfed18650555518ca5818a11178993615fcb2278	yes		28632 bytes	match	match
Darklang.WIP.AI.Anthropic.Response.extractCitations	04b9260bbe87d0f30706ce50105fe2b3fd357ba65a12b7f51f50240bbe2edcce	yes		72208 bytes	match	match
Darklang.Stdlib.Float.negate	04be8d482fac4d798cc33997dd84e82feaafb4d0776c23075e02309fc9a73e0e	yes		5048 bytes	match	match
Darklang.LLM.Examples.NewsDigest.getDigest	04db08548900102bc5e6629f74416aacf3a3a0d1126ac5622d125a462d7ab972	no	compiler: ANF	ANF conversion error: Nested pattern in list element not yet supported		
Darklang.Stdlib.Crypto.sha256	04ee702588730c9ce78fd3488b8754dd63597ccec1b0e680a0b6eb9922d65aaa	yes		102184 bytes	match	match
Darklang.LanguageTools.Permissions.render	04f9a31a1472035a453e298a2443a9e9d789191087208164d19e0d10c57c6795	yes		237928 bytes	match	match
Darklang.LanguageTools.LspServer.HoverInformation.collectDefintionHoverInfoAtPos	050cd1fcfc209a317bccaa914d9b6a259aed838084567099463b1abd9a315e52	no	builtin not routed	unsupported-builtin: stringToList_v0		
Darklang.WIP.AI.OpenAI.Responses.Status.toString	051c6717891b926f76417c079f04c882e7ae4ce6ea8c350cd938b8585d01bd1a	yes		992 bytes	match	match
Darklang.Stdlib.List.map	0528ba2cd165f1d42d77628e08f486643594fc04bee0887af63747594f0bd6c2	yes		51496 bytes	noargs	noargs|TList (TVariable "a"), TFn ({ head = TVariable "a" tail = [] }, TVariable "b")
Darklang.Stdlib.Cli.UI.Layout.flexWidth	0531b6852b89561000359e691ce23901cc68569fc01743bfcd88c80b7d8ef2fe	no	compiler: ANF	ANF conversion error: Lambda lifting could not infer return type for lambda body: ListLiteral []		
Darklang.WIP.AI.OpenAI.Audio.Speech.withResponseFormat	053ef82f4681c24e8427eaade74385e6ef489d08c5b737832920a625877e14ff	yes		1160 bytes	match	match
Darklang.Stdlib.Result.map3	0545c9f00c1a193e5b2d67065a1528e6654932343a4cb62ce87d29bc5f7950e7	yes		1552 bytes	noargs	noargs|TCustomType ({ originalName = ["Stdlib"; "Result"; "Result"] resolved = Ok { name = Package (Hash "03549ecc7eb39c974d3f7181c87a3ee9337fc91307ecb2c24351b0df4809ce15") location = Some { owner = "Darklang" modules = ["Stdlib"; "Result"] name = "Result" } } }, [TVariable "a"; TVariable "e"]), TCustomType ({ originalName = ["Stdlib"; "Result"; "Result"] resolved = Ok { name = Package (Hash "03549ecc7eb39c974d3f7181c87a3ee9337fc91307ecb2c24351b0df4809ce15") location = Some { owner = "Darklang" modules = ["Stdlib"; "Result"] name = "Result" } } }, [TVariable "b"; TVariable "e"]), TCustomType ({ originalName = ["Stdlib"; "Result"; "Result"] resolved = Ok { name = Package (Hash "03549ecc7eb39c974d3f7181c87a3ee9337fc91307ecb2c24351b0df4809ce15") location = Some { owner = "Darklang" modules = ["Stdlib"; "Result"] name = "Result" } } }, [TVariable "c"; TVariable "e"]), TFn ({ head = TVariable "a" tail = [TVariable "b"; TVariable "c"] }, TVariable "d")
Darklang.Internal.DarklangInternalMcpServer.Prompts.extractStringFromArgs	0548229305761c0bc5c381c9d78d2718f42ccd4749a8788f7f60056ddfbee7f3	yes		96024 bytes	match	match
Darklang.ModelContextProtocol.Resources.ListResourceTemplatesResponse.toJson	055c225b2cab684d2f43b1e1934fc0c67596cf2daff2a70108ec0a713bc4cd21	yes		55112 bytes	match	match
Darklang.SCM.Account.getByName	055f935a5c64e6777774ba77c50e99443179cf6459639a3f8b3d968f004dce6e	no	builtin not routed	unsupported-builtin: accountGetByName_v0		
Darklang.WIP.AI.OpenAI.Images.withQuality	056d77bf6e0b173fd0bd62e51a10c5985b526728388aa88337181f830207a67e	yes		1472 bytes	match	match
Darklang.ModelContextProtocol.ServerBuilder.sendSuccessResponseWithPath	057bdb358f17f9608d68b5af202d7deafa2a2d28811308f75475607a277ae86f	no	builtin not routed	unsupported-builtin: dateTimeToString_v0		
