name	hash	compiles	blocker_category	blocker	equiv	equiv_detail
Darklang.Cli.Permissions.Command.policyLinesForHash	7c651ad5ee1dc27bb646d2292a67855caa029273a1dfbcbfb08ad15579738ba7	no	builtin routed, return type unmarshalable	unsupported-builtin: pmGetFn: T.0cc514f99b65b8c6ca917880ae86966ad4fcfd256d59940fa9eb606317a3357a: T.51d1c6d465118e886efbf45f4a6abaa1282b52fc159df96cea2976cec73676ea: unmarshalable-return: TInt128		
Darklang.Cli.Prompt.Display.viewAtSize	7c68b289278ec034740cab381381ab6870251e050837d78b4915762c7be6d0cc	yes		108464 bytes	match	match
Darklang.Cli.Branch.executeRename	7c78a23121c9ee6a9171a4691d9d0d96737b38de86363470b113e2b5d31c2ef1	no	builtin not routed	unsupported-builtin: sqliteQuery_v0		
Darklang.Discord.postMessage	7c8ee55f09b5acf20361e9b5fd498f74c00f43f3ca61bea6601f5a97952739df	yes		303832 bytes	match	match
Darklang.LanguageServerProtocol.DiagnosticTag.toJson	7c8f47dafc08f3019dfbc3c2b4fd736a105406baad665159ce42c4a9e41e4897	yes		832 bytes	match	match
Darklang.SCM.Draft.followedCount	7ca7b8b9c3b98a1cf7e4b4cb85a7959062df0afbfadd1a7bc65b424bbe369885	yes		68080 bytes	match	match
Darklang.Cli.Workbench.configValueOr	7cc381892ed6f956a4561091d950e1e5fb2b3faaad11beb755c7583bbb3c46f6	no	builtin not routed	unsupported-builtin: jsonParse_v0		
Darklang.Cli.Apps.Views.rowsAtSize	7cd8617333b947abe083330eae6add5f656b6abaf6b99768acbfd1e7bd9c8611	no	builtin not routed	unsupported-builtin: listSortBy_v0		
Darklang.Cli.Tests.testViewInstructions	7cefeb86d6b36931a0177da057e2fe53a32128d420c1a233d8c62a0e975d1ea1	yes		87280 bytes	ierr	ierr|[Function (Package (Hash "7cefeb86d6b36931a0177da057e2fe53a32128d420c1a233d8c62a0e975d1ea1")); Function (Package (Hash "1e22c17ef93a2f07d4438efb1509f61af7239ced341fe9ad8328d42a94b5863c")); Function (Package (Hash "62f655d1685e083cdb075b427c929148c4051690e4efd3546e882d1ce1577230")); ... ]
Darklang.Stdlib.Math.tanh	7cf2869955778384727f2d4814681d0e5b26752fd688f9ca258f5f8f62cd6a47	no	builtin not routed	unsupported-builtin: mathTanh_v0		
Darklang.Matter.num	7cfeb87c11ce51251e8a766a9a823acb7e6f1bc79802b1dcdd1549f849c576f0	yes		45680 bytes	match	match
Darklang.Cli.Conflicts.indentBlock	7d0248c633cda091c694cbd8e1bb079a628b1f222ba8642e82bcf2d820093e4b	yes		63744 bytes	match	match
Darklang.WIP.AI.OpenAI.Responses.withFileSearch	7d03a932604f5ebaaca7beefd9380e0d39ddd4eba25b186cf60698bc51daa24e	yes		26208 bytes	match	match
Darklang.SCM.Account.list	7d2611e35efe023f9f37bbac0a946750275b42649888ef6034d97872f42c2e41	no	builtin not routed	unsupported-builtin: accountList_v0		
Darklang.LanguageTools.LspServer.Branches.handleCommitRequest	7d4cd2dd8c830680e2f39e7835c04c2bbd58517af58d3e3b9f7475445543aa7a	no	unsupported-value	unsupported-value: unresolved value name		
